customer_id,Churn
3322,0
3323,0
3324,1
3325,1
3326,1
3327,0
3328,0
3329,0
3330,0
3331,0
3332,1
3333,0
3334,0
3335,0
3336,0
3337,1
3338,0
3339,0
3340,1
3341,0
3342,0
3343,0
3344,0
3345,0
3346,0
3347,0
3348,1
3349,1
3350,1
3351,0
3352,0
3353,0
3354,0
3355,1
3356,0
3357,0
3358,0
3359,0
3360,0
3361,0
3362,0
3363,1
3364,0
3365,0
3366,0
3367,0
3368,0
3369,0
3370,0
3371,0
3372,0
3373,1
3374,1
3375,0
3376,0
3377,0
3378,0
3379,0
3380,0
3381,1
3382,0
3383,0
3384,0
3385,0
3386,0
3387,0
3388,0
3389,0
3390,0
3391,0
3392,0
3393,0
3394,0
3395,0
3396,1
3397,1
3398,1
3399,1
3400,1
3401,1
3402,0
3403,0
3404,1
3405,1
3406,0
3407,0
3408,0
3409,0
3410,0
3411,0
3412,0
3413,0
3414,0
3415,0
3416,0
3417,0
3418,1
3419,0
3420,0
3421,0
3422,0
3423,0
3424,0
3425,0
3426,0
3427,0
3428,0
3429,0
3430,0
3431,1
3432,0
3433,1
3434,0
3435,0
3436,0
3437,1
3438,0
3439,1
3440,0
3441,0
3442,0
3443,1
3444,0
3445,0
3446,0
3447,0
3448,0
3449,0
3450,0
3451,0
3452,0
3453,0
3454,0
3455,0
3456,0
3457,0
3458,0
3459,0
3460,1
3461,0
3462,1
3463,0
3464,0
3465,1
3466,0
3467,1
3468,0
3469,0
3470,0
3471,1
3472,0
3473,0
3474,0
3475,0
3476,0
3477,0
3478,0
3479,0
3480,0
3481,0
3482,0
3483,0
3484,1
3485,0
3486,0
3487,0
3488,0
3489,0
3490,0
3491,0
3492,0
3493,0
3494,0
3495,0
3496,0
3497,0
3498,1
3499,0
3500,0
3501,0
3502,0
3503,0
3504,1
3505,0
3506,0
3507,0
3508,0
3509,0
3510,0
3511,0
3512,0
3513,0
3514,1
3515,0
3516,0
3517,0
3518,0
3519,0
3520,0
3521,0
3522,0
3523,0
3524,0
3525,0
3526,0
3527,0
3528,0
